iter	Passed	Remaining
0	137	137441
1	138	68966
2	138	46124
3	139	34696
4	139	27845
5	140	23293
6	141	20037
7	141	17594
8	142	15686
9	143	14159
10	143	12909
11	144	11868
12	144	10986
13	145	10231
14	145	9579
15	146	9011
16	147	8505
17	147	8053
18	148	7646
19	148	7280
20	149	6949
21	149	6649
22	150	6374
23	150	6121
24	151	5889
25	151	5675
26	152	5481
27	152	5300
28	153	5132
29	153	4976
30	154	4828
31	155	4688
32	155	4558
33	156	4434
34	156	4316
35	157	4205
36	157	4101
37	158	4004
38	158	3910
39	159	3822
40	159	3737
41	160	3655
42	160	3577
43	161	3502
44	161	3431
45	162	3363
46	162	3297
47	163	3235
48	163	3176
49	164	3122
50	164	3067
51	165	3014
52	165	2963
53	166	2914
54	166	2867
55	167	2821
56	167	2776
57	168	2733
58	168	2692
59	169	2651
60	169	2614
61	170	2578
62	170	2541
63	171	2506
64	171	2471
65	172	2438
66	172	2406
67	173	2374
68	173	2344
69	174	2314
70	174	2285
71	175	2258
72	175	2231
73	176	2205
74	176	2180
75	177	2155
76	177	2131
77	178	2107
78	178	2083
79	179	2060
80	179	2038
81	180	2016
82	180	1992
83	180	1971
84	181	1951
85	181	1932
86	182	1913
87	182	1895
88	183	1876
89	183	1858
90	184	1841
91	184	1823
92	185	1806
93	185	1789
94	186	1773
95	186	1757
96	187	1741
97	187	1726
98	188	1711
99	188	1697
100	189	1683
101	189	1669
102	190	1656
103	190	1642
104	191	1629
105	191	1616
106	192	1603
107	192	1590
108	193	1577
109	193	1565
110	194	1553
111	194	1542
112	195	1531
113	195	1519
114	196	1508
115	196	1497
116	196	1485
117	197	1474
118	197	1464
119	198	1453
120	198	1443
121	199	1432
122	199	1423
123	200	1413
124	200	1404
125	201	1396
126	201	1386
127	202	1377
128	202	1368
129	203	1359
130	203	1351
131	204	1342
132	204	1333
133	205	1325
134	205	1317
135	206	1308
136	206	1301
137	207	1293
138	207	1285
139	208	1278
140	208	1270
141	208	1261
142	209	1254
143	209	1247
144	210	1239
145	210	1232
146	211	1225
147	211	1218
148	212	1211
149	212	1205
150	213	1198
151	213	1192
152	214	1185
153	214	1179
154	215	1172
155	215	1166
156	216	1160
157	216	1153
158	217	1147
159	217	1141
160	217	1135
161	218	1129
162	218	1123
163	219	1117
164	219	1112
165	220	1107
166	220	1102
167	221	1096
168	221	1090
169	222	1085
170	222	1080
171	223	1074
172	223	1069
173	224	1064
174	224	1058
175	225	1054
176	225	1049
177	226	1044
178	226	1039
179	227	1035
180	227	1030
181	228	1025
182	228	1020
183	229	1016
184	229	1011
185	230	1006
186	230	1002
187	231	997
188	231	993
189	232	989
190	232	985
191	233	981
192	233	976
193	234	972
194	234	968
195	235	964
196	235	960
197	236	955
198	236	951
199	236	947
200	237	943
201	238	940
202	238	936
203	238	932
204	239	928
205	239	924
206	240	921
207	240	917
208	241	913
209	241	909
210	242	906
211	242	902
212	243	898
213	243	895
214	244	891
215	244	888
216	245	884
217	245	881
218	246	878
219	246	874
220	247	871
221	247	868
222	248	864
223	248	861
224	249	858
225	249	854
226	250	852
227	250	848
228	251	845
229	251	842
230	252	839
231	252	836
232	253	833
233	253	830
234	254	827
235	254	824
236	255	821
237	255	818
238	256	815
239	256	812
240	257	810
